,Player,Team,GP,G,A,Pts,+/-,PN,PIM,S,SB,MS,H,GV,TK,BS,FW,FL,F%,Year
125,Nicklas Backstrom,WSH,39,7,14,21,-27,7,14,61,39,22,24,22,16,23,262,260,50.19,2023
126,Steven Santini,STL,4,0,1,1,0,1,2,5,1,3,6,4,0,10,0,0,0,2023
127,Brett Seney,CHI,8,1,0,1,-2,1,2,9,4,1,11,0,2,4,5,8,38.46,2023
128,Max Pacioretty,CAR,5,3,0,3,0,1,2,16,8,10,4,2,1,1,0,0,0,2023
129,Byron Froese,VGK,9,2,1,3,1,2,4,17,5,3,12,2,3,6,39,22,63.93,2023
130,Kaedan Korczak,VGK,11,0,2,2,-3,0,0,16,8,10,25,1,6,8,0,0,0,2023
131,Darren Helm,COL,14,0,0,0,-1,2,4,10,2,3,16,1,1,3,31,43,41.89,2023
132,Kristian Reichel,WPG,2,0,1,1,0,0,0,1,0,1,2,0,1,0,0,0,0,2023
133,Sheldon Rempal,VGK,1,0,0,0,-2,0,0,0,1,0,0,0,0,0,0,0,0,2023
134,TY Smith,PIT,10,1,3,4,3,2,4,27,11,5,19,5,4,4,0,0,0,2023
135,Travis Dermott,VAN,11,1,0,1,-3,1,2,7,5,2,10,1,1,10,0,0,0,2023
136,Anton Levtchi,FLA,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,2023
137,Mark Friedman,PIT,24,1,2,3,2,6,15,36,14,15,52,9,5,22,0,0,0,2023
138,Tyce Thompson,N.J,2,0,0,0,-1,0,0,1,1,1,0,1,0,2,0,0,0,2023
139,Justin Barron,MTL,39,4,11,15,-2,10,20,40,41,12,49,34,5,39,0,0,0,2023
140,Michael Carcone,ARI,9,2,1,3,3,1,2,15,5,5,16,1,5,1,0,0,0,2023
141,Fredrik Olofsson,DAL,28,1,3,4,0,1,2,34,14,14,33,4,7,9,3,5,37.5,2023
142,Pavel Dorofeyev,VGK,18,7,2,9,5,3,6,40,19,9,3,6,5,9,0,1,0,2023
143,Parker Wotherspoon,NYI,13,0,1,1,5,2,4,10,4,2,8,1,4,6,0,0,0,2023
144,Aatu Raty,NYI,15,2,1,3,0,2,4,16,8,3,19,5,4,6,45,37,54.88,2023
145,Nikita Okhotiuk,N.J,10,1,0,1,1,1,2,6,3,2,31,4,1,9,0,0,0,2023
146,Dillon Heatherington,OTT,3,0,0,0,-3,0,0,1,1,1,2,2,1,2,0,0,0,2023
147,Jani HakanpÄÄ,DAL,49,2,6,8,10,13,26,57,50,20,134,33,9,76,0,0,0,2023
148,Isaak Phillips,CHI,17,1,4,5,-10,1,5,16,12,9,27,8,11,6,0,0,0,2023
149,Justin Kirkland,ANA,7,0,0,0,-3,0,0,5,6,3,8,0,0,3,2,1,66.67,2023
150,Anthony Richard,MTL,13,3,2,5,2,3,6,13,3,9,25,2,2,3,1,3,25,2023
151,Thomas Novak,NSH,9,4,3,7,1,1,2,22,5,2,3,2,2,2,17,42,28.81,2023
152,Josh Dunne,CBJ,8,0,0,0,-6,3,6,4,1,5,19,1,0,4,27,25,51.92,2023
153,Riley Tufte,DAL,3,0,0,0,-1,0,0,1,2,0,6,0,0,0,0,0,0,2023
154,Jordan Spence,L.A,6,0,1,1,1,0,0,6,5,5,3,3,1,3,0,0,0,2023
155,Lane Pederson,VAN,28,3,3,6,-1,10,26,27,9,9,68,4,5,11,76,74,50.67,2023
156,Jan Jenik,ARI,2,0,0,0,0,2,4,0,1,0,4,0,0,2,1,4,20,2023
157,Jeremy Davies,BUF,1,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,2023
158,Ben Harpur,NYR,42,1,5,6,1,7,20,34,30,13,63,22,13,56,0,0,0,2023
159,Jacob Lucchini,OTT,11,1,0,1,-2,0,0,14,5,8,16,7,3,1,0,2,0,2023
160,Brayden Pachal,VGK,11,0,1,1,2,4,8,18,13,7,27,4,3,11,0,0,0,2023
161,Kevin Stenlund,WPG,54,6,3,9,3,8,20,62,24,30,31,12,25,28,279,247,53.04,2023
162,Andreas Johnsson,N.J,13,0,3,3,-6,3,6,18,4,1,7,5,4,5,6,7,46.15,2023
163,Grigori Denisenko,FLA,18,0,3,3,-5,2,4,16,4,8,20,1,1,8,0,0,0,2023
164,Roland McKeown,NSH,6,0,0,0,1,4,8,3,5,3,4,4,1,6,0,0,0,2023
165,Kevin Gravel,NSH,23,0,1,1,-9,2,4,20,22,9,23,12,2,36,0,0,0,2023
166,Rourke Chartier,OTT,6,0,0,0,0,0,0,8,4,2,10,0,1,3,19,14,57.58,2023
167,Samuel Walker,MIN,9,1,1,2,-1,0,0,8,1,2,2,1,2,1,0,0,0,2023
168,Joey Anderson,TOR,39,6,3,9,-8,0,0,42,18,29,36,11,20,17,0,2,0,2023
169,Matthew Phillips,CGY,2,0,0,0,0,1,2,1,3,0,0,0,0,0,0,0,0,2023
170,Cam York,PHI,54,2,18,20,-1,9,18,41,44,36,44,23,13,69,0,0,0,2023
